Orders,POPM,AD,BCS,ASD,ERC,SADA,Decision
"{'shcc': [1], 'whnjjvl': 59, 'mhkydnvl': False, 'ferahpd': [6, 10, 9, 9], 'ivarkhfm': [1, 4]}",82,68,77,105,87,66,TRUE
,103,84,66,77,61,84,FALSE
,67,81,114,112,64,96,FALSE
,87,69,75,113,93,91,FALSE
,85,74,102,118,110,62,FALSE
"{'tnt': [7, 4, 8], 'jto': 54, 'onwwelzv': [8]}",101,90,64,84,115,83,TRUE
{'sdawo': 72.9},89,94,91,62,98,84,TRUE
,71,93,113,119,93,63,FALSE
,117,83,93,110,108,114,FALSE
{'xvvqdmdk': 10},105,107,72,80,79,95,TRUE
,107,76,113,74,84,108,FALSE
,114,102,87,85,89,60,FALSE
"{'hksh': 34.9, 'dwbsqhze': 44, 'zaznjkqx': True}",60,85,105,72,82,109,TRUE
,95,76,102,110,60,118,FALSE
,97,91,118,98,64,81,FALSE
,91,115,88,100,85,69,FALSE
,95,119,70,95,98,64,FALSE
"{'zfbvhygr': 47.59, 'emf': 5.22}",113,73,71,115,116,114,TRUE
"{'mpiyc': False, 'muimrqm': 88, 'zxdjmdck': [10, 2]}",104,86,61,90,111,88,TRUE
,100,93,106,83,101,91,FALSE
,60,61,84,114,106,89,FALSE
{'neeai': 'aod'},113,102,107,90,74,77,TRUE
,102,95,99,101,89,105,FALSE
,120,117,92,77,72,81,FALSE
"{'boyvbpgc': [6, 10, 7, 10], 'qkcxwvug': 'qloxxd', 'xqar': False, 'jsteevsa': 4.8, 'hag': False}",79,60,115,87,69,98,TRUE
,93,97,81,82,110,109,FALSE
,86,66,101,77,62,103,FALSE
,83,108,69,63,77,92,FALSE
,78,83,105,93,69,91,FALSE
"{'azoi': True, 'exp': 53}",109,89,113,63,113,115,TRUE
"{'wpqm': 72.53, 'fntu': 'kgadulcwe', 'dfugwxuj': [5, 4, 9, 10], 'vhv': 41.98, 'wleitgh': [0]}",98,105,91,117,61,78,TRUE
,74,107,68,114,63,105,FALSE
,79,105,83,118,118,85,FALSE
"{'lnihgyoq': True, 'wodsoo': 'gxpnxc', 'gymuxt': 54.71, 'zpu': [6, 0, 2, 8], 'rdy': 'hnvhxqfg'}",116,120,79,80,119,112,TRUE
,120,72,66,99,100,93,FALSE
,108,106,109,112,94,60,FALSE
"{'isfhg': True, 'wflvitn': 'yvsfcnb'}",95,97,68,61,94,90,TRUE
,77,97,85,91,87,89,FALSE
,100,120,83,87,92,83,FALSE
,65,104,72,114,119,113,FALSE
,99,88,102,73,117,86,FALSE
"{'odbrumw': False, 'hshnds': 81, 'yra': 'nonudk'}",66,77,98,67,85,91,TRUE
"{'mtgvwy': 'umsfry', 'qbikgbiq': [4], 'gqlwzgok': 'nwbk'}",120,79,86,120,93,67,TRUE
,97,111,87,110,102,69,FALSE
,94,78,117,105,73,67,FALSE
"{'xpprayw': 22.66, 'lbxrw': 'rldb', 'ubwallhf': True, 'noqwmjl': True, 'fsg': [4, 1, 0, 5]}",82,111,98,70,117,89,TRUE
,102,83,120,77,65,89,FALSE
,80,110,69,103,81,60,FALSE
"{'gvjatg': [6, 2, 2, 3]}",94,75,114,98,79,83,TRUE
,73,96,77,110,117,106,FALSE
,80,78,103,81,118,117,FALSE
,76,62,72,98,114,61,FALSE
,77,66,80,82,118,72,FALSE
"{'nrr': [0], 'uzhmqvx': False, 'jsjflzys': 'uhmodpy', 'grnai': 43}",99,96,86,60,72,77,TRUE
"{'ujuyi': True, 'vutew': 59.49, 'zqt': 87.69, 'jdjg': 77}",116,99,97,106,83,69,TRUE
,69,76,115,87,104,69,FALSE
,81,114,82,79,114,102,FALSE
"{'izmyex': True, 'bzx': False, 'ctt': 27.24, 'pzwllra': 'yephttade', 'beep': 70.52}",119,76,85,112,104,107,TRUE
,78,114,102,65,62,78,FALSE
,103,63,69,91,111,112,FALSE
"{'kmiwygv': True, 'zlcez': 80.81}",113,101,120,74,76,87,TRUE
,72,84,104,86,111,99,FALSE
,89,60,104,62,86,62,FALSE
,90,105,78,80,117,72,FALSE
,93,97,108,117,69,102,FALSE
"{'ucnlode': False, 'ovc': [4], 'rbtxwyk': 5.48}",81,101,95,115,115,102,TRUE
"{'lyznwrv': True, 'ani': 24.03, 'crmghrmx': 14.91}",78,110,62,63,106,94,TRUE
,68,93,80,77,105,93,FALSE
,74,63,73,96,63,117,FALSE
"{'dac': False, 'acmwvf': False, 'vkckbps': 12, 'bdxo': 'ycsamydogx', 'ommgaavt': [9, 7, 3, 4]}",92,103,88,86,65,65,TRUE
,67,72,92,115,116,65,FALSE
,94,112,119,116,93,118,FALSE
"{'xaowy': 63.43, 'owsrwdkx': 84, 'fdgbmmxy': 16.86}",72,77,62,113,119,81,TRUE
,105,76,119,69,104,92,FALSE
,115,92,113,84,66,103,FALSE
,74,90,105,67,60,85,FALSE
,63,88,120,74,60,69,FALSE
{'tobt': 'pxj'},62,68,68,63,119,79,TRUE
"{'cprmkuw': False, 'iigxcj': True, 'iurarjnq': [3, 10], 'phcxpmhb': 51.0, 'nbtjde': True}",66,95,83,82,89,101,TRUE
,84,79,105,70,64,83,FALSE
,74,78,74,113,110,111,FALSE
"{'jik': [1, 1, 6], 'nhr': True}",65,89,67,102,104,114,TRUE
,84,101,101,87,68,112,FALSE
,64,74,70,67,119,109,FALSE
"{'tkxffsa': 21.18, 'wgtg': 5, 'iwszr': [2, 1, 7]}",94,120,75,73,65,77,TRUE
,77,83,95,81,68,117,FALSE
,70,72,93,78,83,83,FALSE
,71,110,79,74,87,110,FALSE
,83,102,98,102,80,85,FALSE
{'yuta': 63},95,98,115,92,113,60,TRUE
"{'sqeq': True, 'rawqk': [8, 7], 'wlajw': [3]}",95,75,65,84,101,91,TRUE
,111,68,86,76,75,113,FALSE
,78,117,118,110,69,72,FALSE
"{'jvyqm': True, 'xraha': 'zxvhg', 'lyftnlyq': False}",95,112,64,111,70,111,TRUE
,112,82,67,116,91,90,FALSE
,60,77,112,88,113,87,FALSE
{'qtwyxkx': 'chcvxxjg'},66,62,86,69,114,85,TRUE
,102,64,118,80,112,68,FALSE
,120,82,71,109,116,61,FALSE
,66,106,87,79,98,114,FALSE
,74,81,75,103,113,104,FALSE
{'uwinlitx': 59},113,60,72,85,91,101,TRUE
"{'dlr': [2, 7], 'ycgtxm': 1.54, 'svh': 'fli', 'tcm': 33.36}",106,115,81,99,119,105,TRUE
,74,119,95,82,114,69,FALSE
,67,114,71,101,87,114,FALSE
"{'jvg': 51, 'pnlaryf': 70, 'rsx': [1, 2, 4, 6], 'wqwodmnb': 'wimuq', 'mtwd': 'nyhrees'}",116,80,92,114,101,69,TRUE
,110,69,88,66,113,65,FALSE
,71,116,114,102,103,112,FALSE
"{'ehw': 'irb', 'yxkrz': True, 'skurlqi': 'trvw', 'yekdn': 'dwgfkuok', 'igzq': 43}",99,72,110,86,77,78,TRUE
,68,98,98,114,104,107,FALSE
,77,85,105,106,84,107,FALSE
,79,61,116,66,81,90,FALSE
,78,64,109,61,84,91,FALSE
"{'ckf': [1, 4, 9]}",84,97,97,93,71,116,TRUE
"{'onmk': 39.9, 'ksj': 'jurzkmmeag', 'dql': 6.18}",110,104,107,75,67,102,TRUE
,92,97,110,78,93,110,FALSE
,89,63,74,90,69,112,FALSE
"{'jojntfec': 'hhiwcjnuav', 'radg': 'wpzjp', 'gsmu': 'amfpnic', 'nvjoqxak': 87.76, 'tqfm': 66.33}",88,100,101,88,90,74,TRUE
,102,115,110,67,82,62,FALSE
,73,103,104,119,94,87,FALSE
{'fprrub': True},74,80,114,110,81,94,TRUE
,119,112,102,76,85,92,FALSE
,108,114,106,102,110,74,FALSE
,64,98,92,116,119,68,FALSE
,82,74,83,109,87,117,FALSE
{'ldbq': 92},69,110,64,84,94,109,TRUE
"{'aahkalbz': 'uilm', 'fkesufm': False}",70,100,94,116,94,61,TRUE
,66,73,70,87,112,86,FALSE
,77,78,91,100,107,112,FALSE
{'bms': 'xsuwus'},107,90,113,108,74,108,TRUE
,111,74,64,87,80,91,FALSE
,85,91,61,96,60,71,FALSE
"{'cvyq': 88.02, 'kgv': 'fgpj'}",94,81,101,101,68,64,TRUE
,95,111,91,109,81,92,FALSE
,66,95,71,79,99,90,FALSE
,79,119,99,91,107,66,FALSE
,94,102,85,87,99,63,FALSE
{'mhfpzx': 'pdozzgx'},85,96,69,71,98,98,TRUE
{'lphcyjyd': 'xwoh'},107,90,97,107,69,104,TRUE
,80,76,97,87,92,101,FALSE
,79,120,94,95,89,78,FALSE
"{'emn': 80.93, 'skfwobq': False, 'ifou': 51.12, 'idrzxdr': [4, 9, 4], 'efkeh': 45.27}",90,66,112,111,63,89,TRUE
,75,103,60,118,101,60,FALSE
,98,114,96,112,95,94,FALSE
"{'eupp': 4.73, 'gdimi': [7, 10, 0, 8], 'nooly': False, 'exuxs': 'uudtjjne', 'htvkym': True}",85,86,69,91,118,77,TRUE
,90,70,90,110,105,97,FALSE
,84,64,109,97,90,74,FALSE
,105,104,97,87,87,78,FALSE
,91,83,68,82,91,119,FALSE
"{'ghx': 5.28, 'gmvhg': [7, 5, 8], 'mrmjfpvr': True, 'hif': 48}",94,100,102,90,70,70,TRUE
"{'uotcgpe': 96, 'xph': [4], 'kkhcikz': True, 'ykcqsd': 96.8}",102,103,96,89,74,92,TRUE
,104,112,83,73,74,92,FALSE
,101,71,64,79,111,91,FALSE
"{'rqk': 24.94, 'yvibnlhj': 'req'}",109,75,77,97,75,109,TRUE
,120,114,105,87,100,102,FALSE
,76,73,101,79,81,86,FALSE
"{'qrc': 100, 'mdft': True, 'poueiww': [8, 5], 'viplfjh': 'dqdojeqqzr', 'ritxmp': [7, 9, 8, 9]}",90,102,82,88,69,113,TRUE
,101,96,70,113,67,65,FALSE
,96,118,82,86,113,68,FALSE
,111,93,74,120,86,92,FALSE
,79,120,88,99,77,92,FALSE
"{'ddvf': [10, 7, 1, 1]}",99,86,83,113,99,104,TRUE
{'nric': 'skkhpookq'},91,77,99,81,88,64,TRUE
,71,100,68,66,64,65,FALSE
,68,97,94,77,70,115,FALSE
"{'kmizcf': 'lil', 'hhewh': 43.65}",95,79,91,103,79,67,TRUE
,85,115,116,107,71,78,FALSE
,77,114,96,118,76,80,FALSE
"{'pgpoauom': True, 'bqxhstr': 'xkkany', 'cizxi': 'qsgxngmprj', 'vowqjbqd': [3, 7, 3, 4]}",83,81,102,96,69,102,TRUE
,75,88,99,115,104,101,FALSE
,81,109,119,105,85,118,FALSE
,63,99,89,78,108,77,FALSE
,101,76,73,105,84,90,FALSE
"{'knf': True, 'uvj': 35, 'qmjpo': 'nvcyrsjsxg', 'mjzbcrh': False, 'gvoojbvm': False}",99,66,87,116,96,71,TRUE
"{'gxbtsfw': [4, 3, 5, 5], 'midvplpq': 'aajqo'}",60,72,89,71,96,103,TRUE
,119,107,115,113,100,118,FALSE
,77,94,88,85,88,109,FALSE
{'nmuyyvf': 59.07},100,63,82,109,119,112,TRUE
,107,107,82,80,84,114,FALSE
,76,113,99,63,77,95,FALSE
"{'hcrsjhb': [10, 2], 'ucw': 58.65, 'dkxw': [10, 7, 10], 'uxzm': False, 'cgejhh': True}",114,60,99,69,95,118,TRUE
,70,67,60,116,63,72,FALSE
,109,91,102,113,77,65,FALSE
,60,118,79,97,80,93,FALSE
,105,103,100,111,90,62,FALSE
"{'yiiz': 77.35, 'vsvz': True, 'qct': 35, 'daaa': True, 'mslbcxns': 88}",96,71,119,100,114,95,TRUE
"{'hueufmss': True, 'pmxpog': 'uyonvhhrto'}",93,119,78,94,111,102,TRUE
,80,82,105,81,83,91,FALSE
,114,112,120,87,91,66,FALSE
"{'tavsenqv': [10, 9, 0]}",107,84,86,96,90,75,TRUE
,66,112,117,93,79,62,FALSE
,62,61,86,105,86,113,FALSE
{'nbzk': 92.86},70,68,111,76,99,88,TRUE
,69,91,64,80,78,109,FALSE
,85,83,102,119,85,73,FALSE
,76,85,64,71,71,106,FALSE
,78,85,107,117,91,92,FALSE
"{'yeuljrv': [2, 7], 'yppqkq': 64.43, 'cfygiic': 'ajgulwfla', 'dokwc': [9, 7, 0], 'kjyatwh': False}",76,97,71,78,66,97,TRUE
{'ddauiv': 'qszgguihmd'},103,111,102,113,63,84,TRUE
,101,104,63,70,109,91,FALSE
,82,117,112,106,68,69,FALSE
"{'bqptikmp': 16.6, 'einf': 77}",68,94,75,95,63,66,TRUE
,108,90,66,92,114,108,FALSE
,106,117,94,65,117,113,FALSE
"{'bghog': 48.0, 'qeczaii': 39.92}",110,65,111,89,87,88,TRUE
,86,113,87,83,95,92,FALSE
,108,109,88,113,100,71,FALSE
,71,78,77,99,110,118,FALSE
,97,103,110,114,81,108,FALSE
"{'kxcpd': 73, 'mtjyqjs': 36.33}",61,99,89,99,114,109,TRUE
"{'utyxtjmk': 'hhiwkwtlx', 'asgwyus': 43}",71,87,87,78,104,119,TRUE
,97,102,73,95,112,64,FALSE
,90,105,80,67,91,100,FALSE
"{'wtybiq': 'rmvaq', 'qcpodrkp': 'xzg', 'how': 'qkqo', 'zwdurr': True}",104,74,63,97,81,90,TRUE
,87,80,108,93,119,85,FALSE
,94,75,78,118,76,95,FALSE
"{'hjnujzu': [10, 6], 'vwuzy': [5, 7, 5], 'rylvcm': 'stlbppfbjr', 'jyyxku': 76.36, 'ttyy': False}",95,60,62,79,60,96,TRUE
,97,72,93,102,76,108,FALSE
,62,119,112,102,60,74,FALSE
,116,112,110,105,107,93,FALSE
,65,117,118,117,116,99,FALSE
"{'vnt': [4, 9, 6, 10], 'tzsnu': 24.5, 'eolsdx': [6, 2, 10, 2]}",88,80,105,91,89,107,TRUE
"{'ynihsjth': False, 'leqltv': 56.16, 'nuvqnk': [3, 7, 6], 'rvynzkrf': 79}",116,96,97,102,120,104,TRUE
,107,102,117,119,95,93,FALSE
,84,61,74,95,68,90,FALSE
"{'ueloqwi': 65, 'lfbzcrp': [1]}",69,105,75,63,92,84,TRUE
,113,81,85,110,104,87,FALSE
,85,113,79,64,112,119,FALSE
"{'eaztjgw': [3, 2], 'wft': 8, 'katmfax': 'ektfipvta', 'amvvsgfq': 54.56, 'txs': [9, 8]}",92,104,65,94,70,77,TRUE
,60,65,115,114,68,64,FALSE
,75,75,79,78,64,115,FALSE
,99,90,83,85,118,76,FALSE
,97,118,97,96,60,61,FALSE
"{'gfuht': [10, 3, 1], 'gpatejdy': 61, 'baqzb': 36, 'lcayxi': 43.03, 'jiy': 'pkr'}",120,73,74,107,85,68,TRUE
"{'eoup': 38, 'vjpcmlf': 21.57}",115,120,66,79,75,65,TRUE
,71,90,109,91,114,104,FALSE
,84,111,114,120,72,92,FALSE
"{'ebbxsh': 77, 'hrbilmfk': 77, 'qvwiusj': 42, 'msebzzwe': False}",114,88,99,96,120,115,TRUE
,106,99,96,85,111,119,FALSE
,114,113,62,65,98,63,FALSE
"{'olk': 31.0, 'ocwgrkt': 14.92, 'kjiomz': 39}",103,115,113,105,71,110,TRUE
,115,96,91,87,115,88,FALSE
,82,98,69,99,96,85,FALSE
,104,77,106,115,62,108,FALSE
,118,74,86,79,96,87,FALSE
"{'mesgskwy': 43.69, 'ftntlki': 74}",62,67,76,60,95,80,TRUE
{'qotgkteb': 51.74},117,107,110,75,89,116,TRUE
,112,82,117,84,90,100,FALSE
,72,80,80,98,71,113,FALSE
"{'puvuyhtl': 78, 'esc': 98.38, 'zqnylxz': 85, 'cxqmxoxq': [8, 3]}",98,106,81,118,87,119,TRUE
,63,68,104,61,105,75,FALSE
,112,112,108,64,120,65,FALSE
"{'aqwb': 72.07, 'bfub': [0, 6], 'tkkdsf': 31.96, 'mcxhwerh': [7, 8], 'nrfogzex': 28.4}",104,70,61,89,111,69,TRUE
,112,61,77,76,119,116,FALSE
,97,79,91,64,101,99,FALSE
,117,96,71,106,83,118,FALSE
,95,85,108,84,76,61,FALSE
"{'fjht': 27.11, 'vknuboyd': 26.81, 'tzch': 'zkih', 'cmzjmh': 90}",69,120,119,96,96,80,TRUE
{'csrgmif': True},91,93,61,74,82,71,TRUE
,108,75,116,88,62,70,FALSE
,108,74,107,89,81,112,FALSE
"{'roz': 37, 'zottci': 'kwspvzfx', 'ypf': 12.29, 'qunwu': 62}",92,111,90,88,74,83,TRUE
,68,87,109,109,109,91,FALSE
,102,64,102,118,105,82,FALSE
{'didz': 'wzgttrylk'},84,114,110,61,78,94,TRUE
,61,84,74,106,73,98,FALSE
,80,94,81,95,93,117,FALSE
,119,108,61,80,91,88,FALSE
,78,105,101,83,67,85,FALSE
{'ogiml': 27},104,66,99,86,98,74,TRUE
"{'zxbcqtoj': 'ncts', 'sonlvd': [1]}",119,93,104,101,107,106,TRUE
,81,107,69,99,115,66,FALSE
,96,108,65,64,105,111,FALSE
"{'lexk': 60.54, 'ggokx': [6], 'ctpiuc': 96.31}",89,97,75,106,94,112,TRUE
,74,93,77,117,88,111,FALSE
,80,97,100,103,62,115,FALSE
"{'keqdorzk': [4], 'likp': 'kgmbza'}",100,70,120,105,88,112,TRUE
,108,113,114,118,96,88,FALSE
,79,75,79,64,96,108,FALSE
,100,91,81,77,111,62,FALSE
,98,90,100,88,120,113,FALSE
"{'mecwzp': [9, 9], 'kkklalxf': 53.16}",94,105,112,112,87,62,TRUE
{'jpisy': 45},109,83,109,85,75,120,TRUE
,115,63,87,86,84,65,FALSE
,96,91,72,112,99,98,FALSE
"{'xkhnpk': 82.02, 'cfjngbo': 47.1, 'yjmhfou': 97.06, 'kixoe': 'djdkfhv', 'ddk': 84.4}",98,94,90,79,64,83,TRUE
,113,91,112,61,113,110,FALSE
,111,106,103,114,64,74,FALSE
"{'mtehfps': False, 'yfn': 'glngj', 'bbuw': 'wpogxcooel'}",67,106,86,68,103,70,TRUE
,84,66,88,92,118,92,FALSE
,83,105,120,64,75,81,FALSE
,89,63,96,83,74,62,FALSE
,115,73,73,69,104,72,FALSE
"{'dbllkly': 43, 'gitl': [5, 9, 8], 'zuwklk': 69}",113,108,70,93,83,78,TRUE
"{'vfati': 22.59, 'sgo': [3, 8], 'wpxf': [0, 6, 2, 9], 'sxobwpq': 66.23, 'cboq': 22.69}",87,116,69,69,107,112,TRUE
,115,61,61,95,81,81,FALSE
,73,66,72,106,120,108,FALSE
"{'whwui': 'ffb', 'ofc': 'uarmfa'}",114,69,82,71,95,101,TRUE
,80,64,112,93,79,94,FALSE
,72,95,113,108,108,100,FALSE
"{'kytar': 25, 'hmspblf': [5, 8], 'drjpmysd': 'qmciozi', 'efeo': 'drpqbz', 'nau': 'dmabm'}",85,112,63,107,66,99,TRUE
,102,101,76,60,65,62,FALSE
,93,63,120,115,96,113,FALSE
,61,75,112,118,120,100,FALSE
,105,111,91,97,100,88,FALSE
"{'uiiabb': False, 'bbohjdt': False, 'szaslruy': True}",102,93,79,91,77,65,TRUE
{'jrnseo': 35},78,92,61,71,103,95,TRUE
,101,81,65,78,72,65,FALSE
,116,71,104,93,75,73,FALSE
"{'jlkb': 'bzqhqbsbnb', 'xgczt': [3, 2, 6, 4], 'gfdobwvh': 51.26}",105,98,74,75,93,105,TRUE
,109,112,102,108,104,72,FALSE
,100,89,61,83,100,84,FALSE
{'dujug': 80},84,104,104,82,75,91,TRUE
,95,61,82,76,78,78,FALSE
,62,120,101,85,110,120,FALSE
,110,74,107,119,117,104,FALSE
,75,65,82,93,91,96,FALSE
{'hbvfagin': False},74,97,113,108,103,80,TRUE
"{'tcxaw': 'ghebjgsg', 'wdryosk': 25, 'ovcf': [2, 1]}",85,119,100,69,107,116,TRUE
,64,100,75,107,86,71,FALSE
,65,117,101,112,95,99,FALSE
"{'exwedymb': 87.13, 'mnv': 'frloi', 'hcv': 99.43, 'agu': 28, 'mscxh': [1, 1, 1, 10]}",116,116,89,75,62,91,TRUE
,71,116,93,105,85,82,FALSE
,72,64,104,108,91,90,FALSE
"{'zmouycvn': False, 'fyxawjf': False, 'eaqvx': False, 'dtkgv': 'kcbrbbaan'}",79,82,82,68,83,78,TRUE
,93,69,120,104,115,65,FALSE
,69,68,116,113,64,105,FALSE
,67,89,113,81,80,80,FALSE
,70,88,64,110,67,109,FALSE
"{'ahw': 'fbrpsi', 'pwvkh': True}",78,118,96,89,107,67,TRUE
"{'lbg': 81.36, 'vvzsju': 80}",100,115,72,95,119,81,TRUE
,102,82,85,77,92,83,FALSE
,80,66,97,95,110,109,FALSE
"{'ihoywd': True, 'kylj': [10, 9, 9], 'brf': True, 'sipgwv': 91.7}",62,69,65,111,88,61,TRUE
,98,78,79,62,70,119,FALSE
,72,74,94,85,101,92,FALSE
"{'vcgo': 82, 'qkt': [9, 5, 9], 'kwbknypk': [3]}",85,76,101,108,113,105,TRUE
