feature,kind,threshold,operator,split_rule,criterion,impurity_decrease,n_left,n_right,class1,precision_1,recall_1,support_1,class2,precision_2,recall_2,support_2,value
For kuru organization did tymely already reply for a previous comment?,numeric,,<=,For kuru organization did tymely already reply for a previous comment? <= 0.5,entropy,0.37138397431437964,13,3,Couldn't determine new destination address | Hold fulfillment and ask for missing address parts,1.0,0.9285714285714286,14,Information is still not clear | Escalate to agent SKIP,0.6666666666666666,1.0,2,0.5
The type of address change the customer asked to update ,list_len,,len <=,len(The type of address change the customer asked to update ) <= 1.5,entropy,0.2935644431995964,12,4,Couldn't determine new destination address | Hold fulfillment and ask for missing address parts,0.875,1.0,14,Information is still not clear | Escalate to agent SKIP,0.0,0.0,2,1.5
Address details were fully provided,numeric,0.5,<=,Address details were fully provided <= 0.5,entropy,0.5665095065529053,2,13,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
New Address,categorical,,==,New Address is null,entropy,0.5665095065529053,2,13,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
In case the customer wants to change the name in the shipping address - what is the new name?,categorical,,==,In case the customer wants to change the name in the shipping address - what is the new name? is null,entropy,0.5665095065529053,2,13,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
New Address Exists,numeric,0.5,<=,New Address Exists <= 0.5,entropy,0.5665095065529053,2,13,2nd Touch Information is clear | Release Hold and Change address,1.0,1.0,13,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
Order items in question,list_contains,,in,'15741638639853' in Order items in question,entropy,0.22002600168808806,1,14,2nd Touch Information is clear | Release Hold and Change address,0.9285714285714286,1.0,13,Information is still not clear | Escalate to agent SKIP,1.0,0.5,2,15741638639853
Tags on the order in question,list_contains,hold_fulfillment,in,'hold_fulfillment' in Tags on the order in question,entropy,0.3095434291503252,2,34,35 minutes passed,1.0,1.0,34,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
Minutes passed since purchase,numeric,,<=,Minutes passed since purchase <= 4206,entropy,0.23301877631245105,33,3,35 minutes passed,1.0,0.9705882352941176,34,Information is still not clear | Escalate to agent SKIP,0.6666666666666666,1.0,2,4206.0
New Country,categorical,US - United States,==,New Country == 'US - United States',entropy,0.23301877631245105,3,33,35 minutes passed,1.0,0.9705882352941176,34,Information is still not clear | Escalate to agent SKIP,0.6666666666666666,1.0,2,
New Country,categorical,,==,New Country is null,entropy,0.23301877631245105,33,3,35 minutes passed,1.0,0.9705882352941176,34,Information is still not clear | Escalate to agent SKIP,0.6666666666666666,1.0,2,
Minutes passed since purchase,numeric,,<=,Minutes passed since purchase <= 2277,entropy,0.19843231803921407,32,4,35 minutes passed,0.9444444444444444,1.0,34,Information is still not clear | Escalate to agent SKIP,0.0,0.0,2,2277.0
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.4262286569981449,2,21,Can't select which order | Ask which order / items,1.0,1.0,21,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.4262286569981449,21,2,Can't select which order | Ask which order / items,1.0,1.0,21,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
Tags on the order in question,list_contains,hold_fulfillment,in,'hold_fulfillment' in Tags on the order in question,entropy,0.4262286569981449,2,21,Can't select which order | Ask which order / items,1.0,1.0,21,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
Order in question,categorical,,==,Order in question is null,entropy,0.4262286569981449,21,2,Can't select which order | Ask which order / items,1.0,1.0,21,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
For kuru organization did tymely already reply for a previous comment?,numeric,,<=,For kuru organization did tymely already reply for a previous comment? <= 0.5,entropy,0.4262286569981449,21,2,Can't select which order | Ask which order / items,1.0,1.0,21,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,0.5
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.9182958340544896,2,1,2nd Touch | SKIP,1.0,1.0,1,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.9182958340544896,1,2,2nd Touch | SKIP,1.0,1.0,1,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
Order items in question,list_len,,len <=,len(Order items in question) <= 2,entropy,0.9182958340544896,2,1,2nd Touch | SKIP,1.0,1.0,1,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,2.0
Order items in question,list_contains,15770428768493,in,'15770428768493' in Order items in question,entropy,0.9182958340544896,1,2,2nd Touch | SKIP,1.0,1.0,1,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
Order items in question,list_contains,15770428801261,in,'15770428801261' in Order items in question,entropy,0.9182958340544896,1,2,2nd Touch | SKIP,1.0,1.0,1,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
The type of address change the customer asked to update ,list_contains,shipping_from_billing,in,'shipping_from_billing' in The type of address change the customer asked to update ,entropy,0.5916727785823275,12,2,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Set the shipping address as the billing address,1.0,1.0,12,
Tags on the order in question,list_contains,hold_fulfillment,in,'hold_fulfillment' in Tags on the order in question,entropy,0.5916727785823275,2,12,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Set the shipping address as the billing address,1.0,1.0,12,
For kuru organization did tymely already reply for a previous comment?,numeric,,<=,For kuru organization did tymely already reply for a previous comment? <= 0.5,entropy,0.5916727785823275,12,2,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Set the shipping address as the billing address,1.0,1.0,12,0.5
New Country,categorical,US - United States,==,New Country == 'US - United States',entropy,0.5916727785823275,2,12,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Set the shipping address as the billing address,1.0,1.0,12,
New Country,categorical,,==,New Country is null,entropy,0.5916727785823275,12,2,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Set the shipping address as the billing address,1.0,1.0,12,
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.5665095065529053,2,13,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Unsupported Fulfillment status,1.0,1.0,13,
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.5665095065529053,13,2,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Unsupported Fulfillment status,1.0,1.0,13,
Delivery status,categorical,,==,Delivery status is null,entropy,0.5665095065529053,2,13,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Unsupported Fulfillment status,1.0,1.0,13,
Tags on the order in question,list_contains,hold_fulfillment,in,'hold_fulfillment' in Tags on the order in question,entropy,0.5665095065529053,2,13,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Unsupported Fulfillment status,1.0,1.0,13,
For kuru organization did tymely already reply for a previous comment?,numeric,,<=,For kuru organization did tymely already reply for a previous comment? <= 0.5,entropy,0.5665095065529053,13,2,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Unsupported Fulfillment status,1.0,1.0,13,0.5
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.32984607020714635,2,31,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Shipping is processed | notify the customer,1.0,1.0,31,
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.32984607020714635,31,2,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Shipping is processed | notify the customer,1.0,1.0,31,
Delivery status,categorical,,==,Delivery status is null,entropy,0.32984607020714635,2,31,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Shipping is processed | notify the customer,1.0,1.0,31,
Address details were fully provided,numeric,,<=,Address details were fully provided <= 0.5,entropy,0.32984607020714635,2,31,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Shipping is processed | notify the customer,1.0,1.0,31,0.5
Tags on the order in question,list_contains,hold_fulfillment,in,'hold_fulfillment' in Tags on the order in question,entropy,0.32984607020714635,2,31,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Shipping is processed | notify the customer,1.0,1.0,31,
Comment ID,numeric,31428384.5,<=,Comment ID <= 3.14284e+07,entropy,0.9709505944546686,3,2,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
The type of address change the customer asked to update ,list_contains,,in,'billing' in The type of address change the customer asked to update ,entropy,0.9709505944546686,3,2,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,billing
Tags on the order in question,list_contains,,in,'KPSP-60-day-return' in Tags on the order in question,entropy,0.9709505944546686,3,2,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,KPSP-60-day-return
Tags on the order in question,list_contains,,in,'hold_fulfillment' in Tags on the order in question,entropy,0.9709505944546686,2,3,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,hold_fulfillment
New Country,categorical,,==,New Country == 'US - United States',entropy,0.9709505944546686,2,3,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,US - United States
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.9709505944546686,2,3,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.9709505944546686,3,2,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Delivery status,categorical,,==,Delivery status is null,entropy,0.9709505944546686,2,3,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Delivery status,categorical,DELIVERED,==,Delivery status == 'DELIVERED',entropy,0.9709505944546686,3,2,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Tags on the order in question,list_contains,hold_fulfillment,in,'hold_fulfillment' in Tags on the order in question,entropy,0.9709505944546686,2,3,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.5665095065529053,2,13,Can't find orders / account | Ask for details,1.0,1.0,13,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.5665095065529053,13,2,Can't find orders / account | Ask for details,1.0,1.0,13,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
Orders Information,list_len,,len <=,len(Orders Information) <= 0.5,entropy,0.5665095065529053,13,2,Can't find orders / account | Ask for details,1.0,1.0,13,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,0.5
Tags on the order in question,list_contains,hold_fulfillment,in,'hold_fulfillment' in Tags on the order in question,entropy,0.5665095065529053,2,13,Can't find orders / account | Ask for details,1.0,1.0,13,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
Order in question,categorical,,==,Order in question is null,entropy,0.5665095065529053,13,2,Can't find orders / account | Ask for details,1.0,1.0,13,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.9182958340544896,2,1,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.9182958340544896,1,2,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Order items in question,list_contains,15854248100077,in,'15854248100077' in Order items in question,entropy,0.9182958340544896,1,2,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Delivery status,categorical,,==,Delivery status is null,entropy,0.9182958340544896,2,1,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Delivery status,categorical,PENDING,==,Delivery status == 'PENDING',entropy,0.9182958340544896,1,2,Information is still not clear | Escalate to agent SKIP,1.0,1.0,2,Order is  Pending | Notify the customer we will try to prevent it from being shipped,1.0,1.0,1
Minutes passed since purchase,numeric,33.0,<=,Minutes passed since purchase <= 33,entropy,0.11049529319337759,92,4,Change shipping address,0.8586956521739131,1.0,79,Change shipping address and defult address,1.0,0.23529411764705882,17,
Minutes passed since purchase,numeric,26.5,<=,Minutes passed since purchase <= 26.5,entropy,0.08177965591843284,89,7,Change shipping address,0.8651685393258427,0.9746835443037974,79,Change shipping address and defult address,0.7142857142857143,0.29411764705882354,17,
Tags on the order in question,list_contains,,in,'hold_fulfillment' in Tags on the order in question,entropy,0.08157011712223716,3,93,Change shipping address,0.8494623655913979,1.0,79,Change shipping address and defult address,1.0,0.17647058823529413,17,hold_fulfillment
Minutes passed since purchase,numeric,30.5,<=,Minutes passed since purchase <= 30.5,entropy,0.07519780558911959,91,5,Change shipping address,0.8571428571428571,0.9873417721518988,79,Change shipping address and defult address,0.8,0.23529411764705882,17,
Minutes passed since purchase,numeric,25.5,<=,Minutes passed since purchase <= 25.5,entropy,0.0673691586340478,88,8,Change shipping address,0.8636363636363636,0.9620253164556962,79,Change shipping address and defult address,0.625,0.29411764705882354,17,
Address details were fully provided,numeric,0.5,<=,Address details were fully provided <= 0.5,entropy,0.9932338197397066,14,17,Change shipping address and defult address,1.0,1.0,17,Couldn't determine new destination address | Hold fulfillment and ask for missing address parts,1.0,1.0,14,
New Address,categorical,,==,New Address is null,entropy,0.9932338197397066,14,17,Change shipping address and defult address,1.0,1.0,17,Couldn't determine new destination address | Hold fulfillment and ask for missing address parts,1.0,1.0,14,
New Address Exists,numeric,0.5,<=,New Address Exists <= 0.5,entropy,0.9932338197397066,14,17,Change shipping address and defult address,1.0,1.0,17,Couldn't determine new destination address | Hold fulfillment and ask for missing address parts,1.0,1.0,14,
In case the customer wants to change the name in the shipping address - what is the new name?,categorical,,==,In case the customer wants to change the name in the shipping address - what is the new name? is null,entropy,0.6956933534760823,12,19,Change shipping address and defult address,0.8947368421052632,1.0,17,Couldn't determine new destination address | Hold fulfillment and ask for missing address parts,1.0,0.8571428571428571,14,
New Country,categorical,,==,New Country is null,entropy,0.2638939344780181,6,25,Change shipping address and defult address,0.68,1.0,17,Couldn't determine new destination address | Hold fulfillment and ask for missing address parts,1.0,0.42857142857142855,14,
The type of address change the customer asked to update ,list_contains,shipping,in,'shipping' in The type of address change the customer asked to update ,entropy,0.7038830210957336,15,15,2nd Touch Information is clear | Release Hold and Change address,0.8666666666666667,1.0,13,Change shipping address and defult address,1.0,0.8823529411764706,17,
Tags on the order in question,list_contains,hold_fulfillment,in,'hold_fulfillment' in Tags on the order in question,entropy,0.6158245689721085,16,14,2nd Touch Information is clear | Release Hold and Change address,0.8125,1.0,13,Change shipping address and defult address,1.0,0.8235294117647058,17,
The type of address change the customer asked to update ,list_len,,len <=,len(The type of address change the customer asked to update ) <= 2.5,entropy,0.5410993755248006,13,17,2nd Touch Information is clear | Release Hold and Change address,0.7647058823529411,1.0,13,Change shipping address and defult address,1.0,0.7647058823529411,17,2.5
Minutes passed since purchase,numeric,,<=,Minutes passed since purchase <= 30.5,entropy,0.5410993755248006,13,17,2nd Touch Information is clear | Release Hold and Change address,0.7647058823529411,1.0,13,Change shipping address and defult address,1.0,0.7647058823529411,17,30.5
Minutes passed since purchase,numeric,,<=,Minutes passed since purchase <= 20.5,entropy,0.4756946671824992,12,18,2nd Touch Information is clear | Release Hold and Change address,0.7222222222222222,1.0,13,Change shipping address and defult address,1.0,0.7058823529411765,17,20.5
New Address,categorical,,==,New Address is null,entropy,0.9182958340544896,34,17,35 minutes passed,1.0,1.0,34,Change shipping address and defult address,1.0,1.0,17,
New Address Exists,numeric,,<=,New Address Exists <= 0.5,entropy,0.9182958340544896,34,17,35 minutes passed,1.0,1.0,34,Change shipping address and defult address,1.0,1.0,17,0.5
New Country,categorical,,==,New Country is null,entropy,0.8090452120014336,33,18,35 minutes passed,1.0,0.9705882352941176,34,Change shipping address and defult address,0.9444444444444444,1.0,17,
In case the customer wants to change the name in the shipping address - what is the new name?,categorical,,==,In case the customer wants to change the name in the shipping address - what is the new name? is null,entropy,0.8090452120014336,33,18,35 minutes passed,1.0,0.9705882352941176,34,Change shipping address and defult address,0.9444444444444444,1.0,17,
New Country,categorical,US - United States,==,New Country == 'US - United States',entropy,0.6830880112125612,17,34,35 minutes passed,0.9705882352941176,0.9705882352941176,34,Change shipping address and defult address,0.9411764705882353,0.9411764705882353,17,
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.9919924034538556,17,21,Can't select which order | Ask which order / items,1.0,1.0,21,Change shipping address and defult address,1.0,1.0,17,
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.9919924034538556,21,17,Can't select which order | Ask which order / items,1.0,1.0,21,Change shipping address and defult address,1.0,1.0,17,
Order in question,categorical,,==,Order in question is null,entropy,0.9919924034538556,21,17,Can't select which order | Ask which order / items,1.0,1.0,21,Change shipping address and defult address,1.0,1.0,17,
New Address,categorical,,==,New Address is null,entropy,0.9919924034538556,21,17,Can't select which order | Ask which order / items,1.0,1.0,21,Change shipping address and defult address,1.0,1.0,17,
New Address Exists,numeric,,<=,New Address Exists <= 0.5,entropy,0.9919924034538556,21,17,Can't select which order | Ask which order / items,1.0,1.0,21,Change shipping address and defult address,1.0,1.0,17,0.5
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.3095434291503252,17,1,2nd Touch | SKIP,1.0,1.0,1,Change shipping address and defult address,1.0,1.0,17
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.3095434291503252,1,17,2nd Touch | SKIP,1.0,1.0,1,Change shipping address and defult address,1.0,1.0,17
Order items in question,list_contains,15770428768493,in,'15770428768493' in Order items in question,entropy,0.3095434291503252,1,17,2nd Touch | SKIP,1.0,1.0,1,Change shipping address and defult address,1.0,1.0,17
Order items in question,list_contains,15770428801261,in,'15770428801261' in Order items in question,entropy,0.3095434291503252,1,17,2nd Touch | SKIP,1.0,1.0,1,Change shipping address and defult address,1.0,1.0,17
Order items in question,list_contains,15770428866797,in,'15770428866797' in Order items in question,entropy,0.3095434291503252,1,17,2nd Touch | SKIP,1.0,1.0,1,Change shipping address and defult address,1.0,1.0,17
New Country,categorical,,==,New Country is null,entropy,0.9784493292686189,12,17,Change shipping address and defult address,1.0,1.0,17,Set the shipping address as the billing address,1.0,1.0,12,
New Address,categorical,,==,New Address is null,entropy,0.9784493292686189,12,17,Change shipping address and defult address,1.0,1.0,17,Set the shipping address as the billing address,1.0,1.0,12,
New Address Exists,numeric,,<=,New Address Exists <= 0.5,entropy,0.9784493292686189,12,17,Change shipping address and defult address,1.0,1.0,17,Set the shipping address as the billing address,1.0,1.0,12,0.5
New Country,categorical,US - United States,==,New Country == 'US - United States',entropy,0.8030642835037802,16,13,Change shipping address and defult address,1.0,0.9411764705882353,17,Set the shipping address as the billing address,0.9230769230769231,1.0,12,
In case the customer wants to change the name in the shipping address - what is the new name?,categorical,,==,In case the customer wants to change the name in the shipping address - what is the new name? is null,entropy,0.786318924968417,11,18,Change shipping address and defult address,0.9444444444444444,1.0,17,Set the shipping address as the billing address,1.0,0.9166666666666666,12,
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.9871377743721863,17,13,Change shipping address and defult address,1.0,1.0,17,Unsupported Fulfillment status,1.0,1.0,13
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.9871377743721863,13,17,Change shipping address and defult address,1.0,1.0,17,Unsupported Fulfillment status,1.0,1.0,13
Delivery status,categorical,,==,Delivery status is null,entropy,0.9871377743721863,17,13,Change shipping address and defult address,1.0,1.0,17,Unsupported Fulfillment status,1.0,1.0,13
New Country,categorical,,==,New Country is null,entropy,0.9871377743721863,13,17,Change shipping address and defult address,1.0,1.0,17,Unsupported Fulfillment status,1.0,1.0,13
New Address,categorical,,==,New Address is null,entropy,0.9871377743721863,13,17,Change shipping address and defult address,1.0,1.0,17,Unsupported Fulfillment status,1.0,1.0,13
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.9377342939868041,17,31,Change shipping address and defult address,1.0,1.0,17,Shipping is processed | notify the customer,1.0,1.0,31,
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.9377342939868041,31,17,Change shipping address and defult address,1.0,1.0,17,Shipping is processed | notify the customer,1.0,1.0,31,
Delivery status,categorical,,==,Delivery status is null,entropy,0.9377342939868041,17,31,Change shipping address and defult address,1.0,1.0,17,Shipping is processed | notify the customer,1.0,1.0,31,
New Address,categorical,,==,New Address is null,entropy,0.8216555080554322,30,18,Change shipping address and defult address,0.9444444444444444,1.0,17,Shipping is processed | notify the customer,1.0,0.967741935483871,31,
New Address Exists,numeric,,<=,New Address Exists <= 0.5,entropy,0.8216555080554322,30,18,Change shipping address and defult address,0.9444444444444444,1.0,17,Shipping is processed | notify the customer,1.0,0.967741935483871,31,0.5
New Country,categorical,,==,New Country is null,entropy,0.6098403047164004,3,17,Change shipping address and defult address,1.0,1.0,17,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,
New Address,categorical,,==,New Address is null,entropy,0.6098403047164004,3,17,Change shipping address and defult address,1.0,1.0,17,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,
In case the customer wants to change the name in the shipping address - what is the new name?,categorical,,==,In case the customer wants to change the name in the shipping address - what is the new name? is null,entropy,0.6098403047164004,3,17,Change shipping address and defult address,1.0,1.0,17,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,
New Address Exists,numeric,,<=,New Address Exists <= 0.5,entropy,0.6098403047164004,3,17,Change shipping address and defult address,1.0,1.0,17,Customer wants to cancel billing address | Change billing address,1.0,1.0,3,0.5
The type of address change the customer asked to update ,list_contains,billing,in,'billing' in The type of address change the customer asked to update ,entropy,0.44758467982457384,4,16,Change shipping address and defult address,1.0,0.9411764705882353,17,Customer wants to cancel billing address | Change billing address,0.75,1.0,3,
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.6098403047164004,17,3,Change shipping address and defult address,1.0,1.0,17,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Fulfilment status,categorical,fulfilled,==,Fulfilment status == 'fulfilled',entropy,0.6098403047164004,3,17,Change shipping address and defult address,1.0,1.0,17,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Delivery status,categorical,,==,Delivery status is null,entropy,0.6098403047164004,17,3,Change shipping address and defult address,1.0,1.0,17,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Delivery status,categorical,DELIVERED,==,Delivery status == 'DELIVERED',entropy,0.6098403047164004,3,17,Change shipping address and defult address,1.0,1.0,17,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
New Address,categorical,,==,New Address is null,entropy,0.6098403047164004,3,17,Change shipping address and defult address,1.0,1.0,17,Order is delivered | Notify the customer ask if reorder is needed,1.0,1.0,3
Fulfilment status,categorical,unfulfilled,==,Fulfilment status == 'unfulfilled',entropy,0.9871377743721863,17,13,Can't find orders / account | Ask for details,1.0,1.0,13,Change shipping address and defult address,1.0,1.0,17,
Fulfilment status,categorical,,==,Fulfilment status is null,entropy,0.9871377743721863,13,17,Can't find orders / account | Ask for details,1.0,1.0,13,Change shipping address and defult address,1.0,1.0,17,
Orders Information,list_len,,len <=,len(Orders Information) <= 0.5,entropy,0.9871377743721863,13,17,Can't find orders / account | Ask for details,1.0,1.0,13,Change shipping address and defult address,1.0,1.0,17,0.5
Order in question,categorical,,==,Order in question is null,entropy,0.9871377743721863,13,17,Can't find orders / account | Ask for details,1.0,1.0,13,Change shipping address and defult address,1.0,1.0,17,
New Country,categorical,,==,New Country is null,entropy,0.9871377743721863,13,17,Can't find orders / account | Ask for details,1.0,1.0,13,Change shipping address and defult address,1.0,1.0,17,
